Image,Label
data/train/image\0\11041.jpg,data/train/label/0.jpg
data/train/image\0\11045.jpg,data/train/label/0.jpg
data/train/image\0\11052.jpg,data/train/label/0.jpg
data/train/image\0\11060.jpg,data/train/label/0.jpg
data/train/image\0\1107.jpg,data/train/label/0.jpg
data/train/image\0\11071.jpg,data/train/label/0.jpg
data/train/image\0\11072.jpg,data/train/label/0.jpg
data/train/image\0\11077.jpg,data/train/label/0.jpg
data/train/image\0\11091.jpg,data/train/label/0.jpg
data/train/image\0\11105.jpg,data/train/label/0.jpg
data/train/image\0\11116.jpg,data/train/label/0.jpg
data/train/image\0\11129.jpg,data/train/label/0.jpg
data/train/image\0\11133.jpg,data/train/label/0.jpg
data/train/image\0\11162.jpg,data/train/label/0.jpg
data/train/image\0\11172.jpg,data/train/label/0.jpg
data/train/image\0\11187.jpg,data/train/label/0.jpg
data/train/image\0\11217.jpg,data/train/label/0.jpg
data/train/image\0\11222.jpg,data/train/label/0.jpg
data/train/image\0\11231.jpg,data/train/label/0.jpg
data/train/image\0\11240.jpg,data/train/label/0.jpg
data/train/image\0\11267.jpg,data/train/label/0.jpg
data/train/image\0\11269.jpg,data/train/label/0.jpg
data/train/image\0\1128.jpg,data/train/label/0.jpg
data/train/image\0\11281.jpg,data/train/label/0.jpg
data/train/image\0\11295.jpg,data/train/label/0.jpg
data/train/image\0\11304.jpg,data/train/label/0.jpg
data/train/image\0\11315.jpg,data/train/label/0.jpg
data/train/image\0\11318.jpg,data/train/label/0.jpg
data/train/image\0\11320.jpg,data/train/label/0.jpg
data/train/image\0\11330.jpg,data/train/label/0.jpg
data/train/image\0\11335.jpg,data/train/label/0.jpg
data/train/image\0\11340.jpg,data/train/label/0.jpg
data/train/image\0\11354.jpg,data/train/label/0.jpg
data/train/image\0\11361.jpg,data/train/label/0.jpg
data/train/image\0\1137.jpg,data/train/label/0.jpg
data/train/image\0\11379.jpg,data/train/label/0.jpg
data/train/image\0\11391.jpg,data/train/label/0.jpg
data/train/image\0\114.jpg,data/train/label/0.jpg
data/train/image\0\11403.jpg,data/train/label/0.jpg
data/train/image\0\11409.jpg,data/train/label/0.jpg
data/train/image\0\11422.jpg,data/train/label/0.jpg
data/train/image\0\11428.jpg,data/train/label/0.jpg
data/train/image\0\11429.jpg,data/train/label/0.jpg
data/train/image\0\11451.jpg,data/train/label/0.jpg
data/train/image\0\11453.jpg,data/train/label/0.jpg
data/train/image\0\11462.jpg,data/train/label/0.jpg
data/train/image\0\11501.jpg,data/train/label/0.jpg
data/train/image\0\11514.jpg,data/train/label/0.jpg
data/train/image\0\1152.jpg,data/train/label/0.jpg
data/train/image\0\11526.jpg,data/train/label/0.jpg
data/train/image\0\11532.jpg,data/train/label/0.jpg
data/train/image\0\11541.jpg,data/train/label/0.jpg
data/train/image\0\11559.jpg,data/train/label/0.jpg
data/train/image\0\11562.jpg,data/train/label/0.jpg
data/train/image\0\11574.jpg,data/train/label/0.jpg
data/train/image\0\11577.jpg,data/train/label/0.jpg
data/train/image\0\11584.jpg,data/train/label/0.jpg
data/train/image\0\11588.jpg,data/train/label/0.jpg
data/train/image\0\11597.jpg,data/train/label/0.jpg
data/train/image\0\11605.jpg,data/train/label/0.jpg
data/train/image\0\11612.jpg,data/train/label/0.jpg
data/train/image\0\11615.jpg,data/train/label/0.jpg
data/train/image\0\11620.jpg,data/train/label/0.jpg
data/train/image\0\11636.jpg,data/train/label/0.jpg
data/train/image\0\11639.jpg,data/train/label/0.jpg
data/train/image\0\11654.jpg,data/train/label/0.jpg
data/train/image\0\11657.jpg,data/train/label/0.jpg
data/train/image\0\11661.jpg,data/train/label/0.jpg
data/train/image\0\11675.jpg,data/train/label/0.jpg
data/train/image\0\1168.jpg,data/train/label/0.jpg
data/train/image\0\11683.jpg,data/train/label/0.jpg
data/train/image\0\11694.jpg,data/train/label/0.jpg
data/train/image\0\11701.jpg,data/train/label/0.jpg
data/train/image\0\11712.jpg,data/train/label/0.jpg
data/train/image\0\11729.jpg,data/train/label/0.jpg
data/train/image\0\11742.jpg,data/train/label/0.jpg
data/train/image\0\11746.jpg,data/train/label/0.jpg
data/train/image\0\11754.jpg,data/train/label/0.jpg
data/train/image\0\11758.jpg,data/train/label/0.jpg
data/train/image\0\11779.jpg,data/train/label/0.jpg
data/train/image\0\11780.jpg,data/train/label/0.jpg
data/train/image\0\1179.jpg,data/train/label/0.jpg
data/train/image\0\11791.jpg,data/train/label/0.jpg
data/train/image\0\11792.jpg,data/train/label/0.jpg
data/train/image\0\11794.jpg,data/train/label/0.jpg
data/train/image\0\118.jpg,data/train/label/0.jpg
data/train/image\0\11807.jpg,data/train/label/0.jpg
data/train/image\0\11833.jpg,data/train/label/0.jpg
data/train/image\0\11834.jpg,data/train/label/0.jpg
data/train/image\0\11845.jpg,data/train/label/0.jpg
data/train/image\0\11846.jpg,data/train/label/0.jpg
data/train/image\0\11848.jpg,data/train/label/0.jpg
data/train/image\0\11851.jpg,data/train/label/0.jpg
data/train/image\0\11860.jpg,data/train/label/0.jpg
data/train/image\0\11887.jpg,data/train/label/0.jpg
data/train/image\0\11888.jpg,data/train/label/0.jpg
data/train/image\0\119.jpg,data/train/label/0.jpg
data/train/image\0\11902.jpg,data/train/label/0.jpg
data/train/image\0\11911.jpg,data/train/label/0.jpg
data/train/image\0\11914.jpg,data/train/label/0.jpg
data/train/image\0\11920.jpg,data/train/label/0.jpg
data/train/image\0\11933.jpg,data/train/label/0.jpg
data/train/image\0\11945.jpg,data/train/label/0.jpg
data/train/image\0\11948.jpg,data/train/label/0.jpg
data/train/image\0\1195.jpg,data/train/label/0.jpg
data/train/image\0\11957.jpg,data/train/label/0.jpg
data/train/image\0\11969.jpg,data/train/label/0.jpg
data/train/image\0\11973.jpg,data/train/label/0.jpg
data/train/image\0\11974.jpg,data/train/label/0.jpg
data/train/image\0\11993.jpg,data/train/label/0.jpg
data/train/image\0\12004.jpg,data/train/label/0.jpg
data/train/image\0\12008.jpg,data/train/label/0.jpg
data/train/image\0\12011.jpg,data/train/label/0.jpg
data/train/image\0\12020.jpg,data/train/label/0.jpg
data/train/image\0\12057.jpg,data/train/label/0.jpg
data/train/image\0\1209.jpg,data/train/label/0.jpg
data/train/image\0\12095.jpg,data/train/label/0.jpg
data/train/image\0\121.jpg,data/train/label/0.jpg
data/train/image\0\12103.jpg,data/train/label/0.jpg
data/train/image\0\12107.jpg,data/train/label/0.jpg
data/train/image\0\12115.jpg,data/train/label/0.jpg
data/train/image\0\12119.jpg,data/train/label/0.jpg
data/train/image\0\12134.jpg,data/train/label/0.jpg
data/train/image\0\12140.jpg,data/train/label/0.jpg
data/train/image\0\12142.jpg,data/train/label/0.jpg
data/train/image\0\12144.jpg,data/train/label/0.jpg
data/train/image\0\12150.jpg,data/train/label/0.jpg
data/train/image\0\12168.jpg,data/train/label/0.jpg
data/train/image\0\12180.jpg,data/train/label/0.jpg
data/train/image\0\12184.jpg,data/train/label/0.jpg
data/train/image\0\12193.jpg,data/train/label/0.jpg
data/train/image\0\12195.jpg,data/train/label/0.jpg
data/train/image\0\12205.jpg,data/train/label/0.jpg
data/train/image\0\12217.jpg,data/train/label/0.jpg
data/train/image\0\12219.jpg,data/train/label/0.jpg
data/train/image\0\12239.jpg,data/train/label/0.jpg
data/train/image\0\12259.jpg,data/train/label/0.jpg
data/train/image\0\12264.jpg,data/train/label/0.jpg
data/train/image\0\12266.jpg,data/train/label/0.jpg
data/train/image\0\12276.jpg,data/train/label/0.jpg
data/train/image\0\12313.jpg,data/train/label/0.jpg
data/train/image\0\12321.jpg,data/train/label/0.jpg
data/train/image\0\12324.jpg,data/train/label/0.jpg
data/train/image\0\12325.jpg,data/train/label/0.jpg
data/train/image\0\12337.jpg,data/train/label/0.jpg
data/train/image\0\12339.jpg,data/train/label/0.jpg
data/train/image\0\12351.jpg,data/train/label/0.jpg
data/train/image\0\12357.jpg,data/train/label/0.jpg
data/train/image\0\12360.jpg,data/train/label/0.jpg
data/train/image\0\12374.jpg,data/train/label/0.jpg
data/train/image\0\12387.jpg,data/train/label/0.jpg
data/train/image\0\12414.jpg,data/train/label/0.jpg
data/train/image\0\12421.jpg,data/train/label/0.jpg
data/train/image\0\12456.jpg,data/train/label/0.jpg
data/train/image\0\12457.jpg,data/train/label/0.jpg
data/train/image\0\12477.jpg,data/train/label/0.jpg
data/train/image\0\12497.jpg,data/train/label/0.jpg
data/train/image\0\12500.jpg,data/train/label/0.jpg
data/train/image\0\12504.jpg,data/train/label/0.jpg
data/train/image\0\12516.jpg,data/train/label/0.jpg
data/train/image\0\12533.jpg,data/train/label/0.jpg
data/train/image\0\12542.jpg,data/train/label/0.jpg
data/train/image\0\12550.jpg,data/train/label/0.jpg
data/train/image\0\12553.jpg,data/train/label/0.jpg
data/train/image\0\12554.jpg,data/train/label/0.jpg
data/train/image\0\12555.jpg,data/train/label/0.jpg
data/train/image\0\12568.jpg,data/train/label/0.jpg
data/train/image\0\12573.jpg,data/train/label/0.jpg
data/train/image\0\12575.jpg,data/train/label/0.jpg
data/train/image\0\12584.jpg,data/train/label/0.jpg
data/train/image\0\12605.jpg,data/train/label/0.jpg
data/train/image\0\12635.jpg,data/train/label/0.jpg
data/train/image\0\12652.jpg,data/train/label/0.jpg
data/train/image\0\12653.jpg,data/train/label/0.jpg
data/train/image\0\12662.jpg,data/train/label/0.jpg
data/train/image\0\12665.jpg,data/train/label/0.jpg
data/train/image\0\12666.jpg,data/train/label/0.jpg
data/train/image\0\12670.jpg,data/train/label/0.jpg
data/train/image\0\1268.jpg,data/train/label/0.jpg
data/train/image\0\12686.jpg,data/train/label/0.jpg
data/train/image\0\12690.jpg,data/train/label/0.jpg
data/train/image\0\12691.jpg,data/train/label/0.jpg
data/train/image\0\12703.jpg,data/train/label/0.jpg
data/train/image\0\12716.jpg,data/train/label/0.jpg
data/train/image\0\12723.jpg,data/train/label/0.jpg
data/train/image\0\12732.jpg,data/train/label/0.jpg
data/train/image\0\12741.jpg,data/train/label/0.jpg
data/train/image\0\12748.jpg,data/train/label/0.jpg
data/train/image\0\12764.jpg,data/train/label/0.jpg
data/train/image\0\12765.jpg,data/train/label/0.jpg
data/train/image\0\12776.jpg,data/train/label/0.jpg
data/train/image\0\12785.jpg,data/train/label/0.jpg
data/train/image\0\12796.jpg,data/train/label/0.jpg
data/train/image\0\12799.jpg,data/train/label/0.jpg
data/train/image\0\12837.jpg,data/train/label/0.jpg
data/train/image\0\12839.jpg,data/train/label/0.jpg
data/train/image\0\12869.jpg,data/train/label/0.jpg
data/train/image\0\12872.jpg,data/train/label/0.jpg
data/train/image\0\12880.jpg,data/train/label/0.jpg
data/train/image\0\12888.jpg,data/train/label/0.jpg
data/train/image\0\12897.jpg,data/train/label/0.jpg
data/train/image\0\12907.jpg,data/train/label/0.jpg
data/train/image\0\12926.jpg,data/train/label/0.jpg
data/train/image\0\12927.jpg,data/train/label/0.jpg
data/train/image\0\12947.jpg,data/train/label/0.jpg
data/train/image\0\12992.jpg,data/train/label/0.jpg
data/train/image\0\13005.jpg,data/train/label/0.jpg
data/train/image\0\13013.jpg,data/train/label/0.jpg
data/train/image\0\13029.jpg,data/train/label/0.jpg
data/train/image\0\13030.jpg,data/train/label/0.jpg
data/train/image\0\13033.jpg,data/train/label/0.jpg
data/train/image\0\1304.jpg,data/train/label/0.jpg
data/train/image\0\13044.jpg,data/train/label/0.jpg
data/train/image\0\13054.jpg,data/train/label/0.jpg
data/train/image\0\13066.jpg,data/train/label/0.jpg
data/train/image\0\13074.jpg,data/train/label/0.jpg
data/train/image\0\13075.jpg,data/train/label/0.jpg
data/train/image\0\13076.jpg,data/train/label/0.jpg
data/train/image\0\13077.jpg,data/train/label/0.jpg
data/train/image\0\13081.jpg,data/train/label/0.jpg
data/train/image\0\13097.jpg,data/train/label/0.jpg
data/train/image\0\13098.jpg,data/train/label/0.jpg
data/train/image\0\1310.jpg,data/train/label/0.jpg
data/train/image\0\13117.jpg,data/train/label/0.jpg
data/train/image\0\13126.jpg,data/train/label/0.jpg
data/train/image\0\13135.jpg,data/train/label/0.jpg
data/train/image\0\13155.jpg,data/train/label/0.jpg
data/train/image\0\13164.jpg,data/train/label/0.jpg
data/train/image\0\13175.jpg,data/train/label/0.jpg
data/train/image\0\13184.jpg,data/train/label/0.jpg
data/train/image\0\13196.jpg,data/train/label/0.jpg
data/train/image\0\13197.jpg,data/train/label/0.jpg
data/train/image\0\13203.jpg,data/train/label/0.jpg
data/train/image\0\13206.jpg,data/train/label/0.jpg
data/train/image\0\13211.jpg,data/train/label/0.jpg
data/train/image\0\13214.jpg,data/train/label/0.jpg
data/train/image\0\13215.jpg,data/train/label/0.jpg
data/train/image\0\13216.jpg,data/train/label/0.jpg
data/train/image\0\13217.jpg,data/train/label/0.jpg
data/train/image\0\13230.jpg,data/train/label/0.jpg
data/train/image\0\13231.jpg,data/train/label/0.jpg
data/train/image\0\13233.jpg,data/train/label/0.jpg
data/train/image\0\13238.jpg,data/train/label/0.jpg
data/train/image\0\13240.jpg,data/train/label/0.jpg
data/train/image\0\13268.jpg,data/train/label/0.jpg
data/train/image\0\13280.jpg,data/train/label/0.jpg
data/train/image\0\13286.jpg,data/train/label/0.jpg
data/train/image\0\13314.jpg,data/train/label/0.jpg
data/train/image\0\13335.jpg,data/train/label/0.jpg
data/train/image\0\13344.jpg,data/train/label/0.jpg
data/train/image\0\13347.jpg,data/train/label/0.jpg
data/train/image\0\13366.jpg,data/train/label/0.jpg
data/train/image\0\13371.jpg,data/train/label/0.jpg
data/train/image\0\13377.jpg,data/train/label/0.jpg
data/train/image\0\13397.jpg,data/train/label/0.jpg
data/train/image\0\13408.jpg,data/train/label/0.jpg
data/train/image\0\13411.jpg,data/train/label/0.jpg
data/train/image\0\13450.jpg,data/train/label/0.jpg
data/train/image\0\13454.jpg,data/train/label/0.jpg
data/train/image\0\13459.jpg,data/train/label/0.jpg
data/train/image\0\1346.jpg,data/train/label/0.jpg
data/train/image\0\13464.jpg,data/train/label/0.jpg
data/train/image\0\13467.jpg,data/train/label/0.jpg
data/train/image\0\13483.jpg,data/train/label/0.jpg
data/train/image\0\1349.jpg,data/train/label/0.jpg
data/train/image\0\13492.jpg,data/train/label/0.jpg
data/train/image\0\13497.jpg,data/train/label/0.jpg
data/train/image\0\13521.jpg,data/train/label/0.jpg
data/train/image\0\13528.jpg,data/train/label/0.jpg
data/train/image\0\13544.jpg,data/train/label/0.jpg
data/train/image\0\13545.jpg,data/train/label/0.jpg
data/train/image\0\13547.jpg,data/train/label/0.jpg
data/train/image\0\13582.jpg,data/train/label/0.jpg
data/train/image\0\13583.jpg,data/train/label/0.jpg
data/train/image\0\13589.jpg,data/train/label/0.jpg
data/train/image\0\1359.jpg,data/train/label/0.jpg
data/train/image\0\13609.jpg,data/train/label/0.jpg
data/train/image\0\13623.jpg,data/train/label/0.jpg
data/train/image\0\1363.jpg,data/train/label/0.jpg
data/train/image\0\13641.jpg,data/train/label/0.jpg
data/train/image\0\1367.jpg,data/train/label/0.jpg
data/train/image\0\1368.jpg,data/train/label/0.jpg
data/train/image\0\13685.jpg,data/train/label/0.jpg
data/train/image\0\1371.jpg,data/train/label/0.jpg
data/train/image\0\13719.jpg,data/train/label/0.jpg
data/train/image\0\1372.jpg,data/train/label/0.jpg
data/train/image\0\13726.jpg,data/train/label/0.jpg
data/train/image\0\13729.jpg,data/train/label/0.jpg
data/train/image\0\13730.jpg,data/train/label/0.jpg
data/train/image\0\13734.jpg,data/train/label/0.jpg
data/train/image\0\13738.jpg,data/train/label/0.jpg
data/train/image\0\13751.jpg,data/train/label/0.jpg
data/train/image\0\13764.jpg,data/train/label/0.jpg
data/train/image\0\13769.jpg,data/train/label/0.jpg
data/train/image\0\1377.jpg,data/train/label/0.jpg
data/train/image\0\13777.jpg,data/train/label/0.jpg
data/train/image\0\13779.jpg,data/train/label/0.jpg
data/train/image\0\13798.jpg,data/train/label/0.jpg
data/train/image\0\13799.jpg,data/train/label/0.jpg
data/train/image\0\13807.jpg,data/train/label/0.jpg
data/train/image\0\13808.jpg,data/train/label/0.jpg
data/train/image\0\13816.jpg,data/train/label/0.jpg
data/train/image\0\13822.jpg,data/train/label/0.jpg
data/train/image\0\13826.jpg,data/train/label/0.jpg
data/train/image\0\13830.jpg,data/train/label/0.jpg
data/train/image\0\13833.jpg,data/train/label/0.jpg
data/train/image\0\13853.jpg,data/train/label/0.jpg
data/train/image\0\13854.jpg,data/train/label/0.jpg
data/train/image\0\1386.jpg,data/train/label/0.jpg
data/train/image\0\1387.jpg,data/train/label/0.jpg
data/train/image\0\13872.jpg,data/train/label/0.jpg
data/train/image\0\13873.jpg,data/train/label/0.jpg
data/train/image\0\13874.jpg,data/train/label/0.jpg
data/train/image\0\13880.jpg,data/train/label/0.jpg
data/train/image\0\13889.jpg,data/train/label/0.jpg
data/train/image\0\13896.jpg,data/train/label/0.jpg
data/train/image\0\13911.jpg,data/train/label/0.jpg
data/train/image\0\13913.jpg,data/train/label/0.jpg
data/train/image\0\13916.jpg,data/train/label/0.jpg
data/train/image\0\13918.jpg,data/train/label/0.jpg
data/train/image\0\13921.jpg,data/train/label/0.jpg
data/train/image\0\13926.jpg,data/train/label/0.jpg
data/train/image\0\13955.jpg,data/train/label/0.jpg
data/train/image\0\13962.jpg,data/train/label/0.jpg
data/train/image\0\13989.jpg,data/train/label/0.jpg
data/train/image\0\14012.jpg,data/train/label/0.jpg
data/train/image\0\14019.jpg,data/train/label/0.jpg
data/train/image\0\1403.jpg,data/train/label/0.jpg
data/train/image\0\14034.jpg,data/train/label/0.jpg
data/train/image\0\14039.jpg,data/train/label/0.jpg
data/train/image\0\14052.jpg,data/train/label/0.jpg
data/train/image\0\14059.jpg,data/train/label/0.jpg
data/train/image\0\14089.jpg,data/train/label/0.jpg
data/train/image\0\14092.jpg,data/train/label/0.jpg
data/train/image\0\14097.jpg,data/train/label/0.jpg
data/train/image\0\14102.jpg,data/train/label/0.jpg
data/train/image\0\14110.jpg,data/train/label/0.jpg
data/train/image\0\14131.jpg,data/train/label/0.jpg
data/train/image\0\14137.jpg,data/train/label/0.jpg
data/train/image\0\14148.jpg,data/train/label/0.jpg
data/train/image\0\14153.jpg,data/train/label/0.jpg
data/train/image\0\14157.jpg,data/train/label/0.jpg
data/train/image\0\14158.jpg,data/train/label/0.jpg
data/train/image\0\14160.jpg,data/train/label/0.jpg
data/train/image\0\14161.jpg,data/train/label/0.jpg
data/train/image\0\14165.jpg,data/train/label/0.jpg
data/train/image\0\14179.jpg,data/train/label/0.jpg
data/train/image\0\14202.jpg,data/train/label/0.jpg
data/train/image\0\14229.jpg,data/train/label/0.jpg
data/train/image\0\1423.jpg,data/train/label/0.jpg
data/train/image\0\14258.jpg,data/train/label/0.jpg
data/train/image\0\14269.jpg,data/train/label/0.jpg
data/train/image\0\14276.jpg,data/train/label/0.jpg
data/train/image\0\14278.jpg,data/train/label/0.jpg
data/train/image\0\14282.jpg,data/train/label/0.jpg
data/train/image\0\14291.jpg,data/train/label/0.jpg
data/train/image\0\14311.jpg,data/train/label/0.jpg
data/train/image\0\14319.jpg,data/train/label/0.jpg
data/train/image\0\14323.jpg,data/train/label/0.jpg
data/train/image\0\14325.jpg,data/train/label/0.jpg
data/train/image\0\14329.jpg,data/train/label/0.jpg
data/train/image\0\14334.jpg,data/train/label/0.jpg
data/train/image\0\14356.jpg,data/train/label/0.jpg
data/train/image\0\14384.jpg,data/train/label/0.jpg
data/train/image\0\14393.jpg,data/train/label/0.jpg
data/train/image\0\14402.jpg,data/train/label/0.jpg
data/train/image\0\14412.jpg,data/train/label/0.jpg
data/train/image\0\14419.jpg,data/train/label/0.jpg
data/train/image\0\14425.jpg,data/train/label/0.jpg
data/train/image\0\1443.jpg,data/train/label/0.jpg
data/train/image\0\14430.jpg,data/train/label/0.jpg
data/train/image\0\14445.jpg,data/train/label/0.jpg
data/train/image\0\14461.jpg,data/train/label/0.jpg
data/train/image\0\14472.jpg,data/train/label/0.jpg
data/train/image\0\14481.jpg,data/train/label/0.jpg
data/train/image\0\14491.jpg,data/train/label/0.jpg
data/train/image\0\14511.jpg,data/train/label/0.jpg
data/train/image\0\14513.jpg,data/train/label/0.jpg
data/train/image\0\14518.jpg,data/train/label/0.jpg
data/train/image\0\14530.jpg,data/train/label/0.jpg
data/train/image\0\1454.jpg,data/train/label/0.jpg
data/train/image\0\14545.jpg,data/train/label/0.jpg
data/train/image\0\14557.jpg,data/train/label/0.jpg
data/train/image\0\14559.jpg,data/train/label/0.jpg
data/train/image\0\14564.jpg,data/train/label/0.jpg
data/train/image\0\14574.jpg,data/train/label/0.jpg
data/train/image\0\14589.jpg,data/train/label/0.jpg
data/train/image\0\14613.jpg,data/train/label/0.jpg
data/train/image\0\14629.jpg,data/train/label/0.jpg
data/train/image\0\14644.jpg,data/train/label/0.jpg
data/train/image\0\14649.jpg,data/train/label/0.jpg
data/train/image\0\14668.jpg,data/train/label/0.jpg
data/train/image\0\14675.jpg,data/train/label/0.jpg
data/train/image\0\14693.jpg,data/train/label/0.jpg
data/train/image\0\14705.jpg,data/train/label/0.jpg
data/train/image\0\1471.jpg,data/train/label/0.jpg
data/train/image\0\14712.jpg,data/train/label/0.jpg
data/train/image\0\14717.jpg,data/train/label/0.jpg
